id,merger_name,zip_code
391,"中国,内蒙古自治区,通辽市,科尔沁左翼中旗",029300
392,"中国,内蒙古自治区,通辽市,科尔沁左翼后旗",028100
393,"中国,内蒙古自治区,通辽市,开鲁县",028400
394,"中国,内蒙古自治区,通辽市,库伦旗",028200
395,"中国,内蒙古自治区,通辽市,奈曼旗",028300
396,"中国,内蒙古自治区,通辽市,扎鲁特旗",029100
397,"中国,内蒙古自治区,通辽市,霍林郭勒市",029200
398,"中国,内蒙古自治区,鄂尔多斯市",017004
399,"中国,内蒙古自治区,鄂尔多斯市,东胜区",017000
400,"中国,内蒙古自治区,鄂尔多斯市,达拉特旗",014300
401,"中国,内蒙古自治区,鄂尔多斯市,准格尔旗",017100
402,"中国,内蒙古自治区,鄂尔多斯市,鄂托克前旗",016200
403,"中国,内蒙古自治区,鄂尔多斯市,鄂托克旗",016100
404,"中国,内蒙古自治区,鄂尔多斯市,杭锦旗",017400
405,"中国,内蒙古自治区,鄂尔多斯市,乌审旗",017300
406,"中国,内蒙古自治区,鄂尔多斯市,伊金霍洛旗",017200
407,"中国,内蒙古自治区,呼伦贝尔市",021008
408,"中国,内蒙古自治区,呼伦贝尔市,海拉尔区",021000
409,"中国,内蒙古自治区,呼伦贝尔市,扎赉诺尔区",021410
410,"中国,内蒙古自治区,呼伦贝尔市,阿荣旗",162750
411,"中国,内蒙古自治区,呼伦贝尔市,莫力达瓦达斡尔族自治旗",162850
412,"中国,内蒙古自治区,呼伦贝尔市,鄂伦春自治旗",165450
413,"中国,内蒙古自治区,呼伦贝尔市,鄂温克族自治旗",021100
414,"中国,内蒙古自治区,呼伦贝尔市,陈巴尔虎旗",021500
415,"中国,内蒙古自治区,呼伦贝尔市,新巴尔虎左旗",021200
416,"中国,内蒙古自治区,呼伦贝尔市,新巴尔虎右旗",021300
417,"中国,内蒙古自治区,呼伦贝尔市,满洲里市",021400
418,"中国,内蒙古自治区,呼伦贝尔市,牙克石市",022150
419,"中国,内蒙古自治区,呼伦贝尔市,扎兰屯市",162650
420,"中国,内蒙古自治区,呼伦贝尔市,额尔古纳市",022250
421,"中国,内蒙古自治区,呼伦贝尔市,根河市",022350
422,"中国,内蒙古自治区,巴彦淖尔市",015001
423,"中国,内蒙古自治区,巴彦淖尔市,临河区",015001
424,"中国,内蒙古自治区,巴彦淖尔市,五原县",015100
425,"中国,内蒙古自治区,巴彦淖尔市,磴口县",015200
426,"中国,内蒙古自治区,巴彦淖尔市,乌拉特前旗",014400
427,"中国,内蒙古自治区,巴彦淖尔市,乌拉特中旗",015300
428,"中国,内蒙古自治区,巴彦淖尔市,乌拉特后旗",015500
429,"中国,内蒙古自治区,巴彦淖尔市,杭锦后旗",015400
430,"中国,内蒙古自治区,乌兰察布市",012000
431,"中国,内蒙古自治区,乌兰察布市,集宁区",012000
432,"中国,内蒙古自治区,乌兰察布市,卓资县",012300
433,"中国,内蒙古自治区,乌兰察布市,化德县",013350
434,"中国,内蒙古自治区,乌兰察布市,商都县",013450
435,"中国,内蒙古自治区,乌兰察布市,兴和县",013650
436,"中国,内蒙古自治区,乌兰察布市,凉城县",013750
437,"中国,内蒙古自治区,乌兰察布市,察哈尔右翼前旗",012200
438,"中国,内蒙古自治区,乌兰察布市,察哈尔右翼中旗",013550
439,"中国,内蒙古自治区,乌兰察布市,察哈尔右翼后旗",012400
440,"中国,内蒙古自治区,乌兰察布市,四子王旗",011800
441,"中国,内蒙古自治区,乌兰察布市,丰镇市",012100
442,"中国,内蒙古自治区,兴安盟",137401
443,"中国,内蒙古自治区,兴安盟,乌兰浩特市",137401
444,"中国,内蒙古自治区,兴安盟,阿尔山市",137800
445,"中国,内蒙古自治区,兴安盟,科尔沁右翼前旗",137423
446,"中国,内蒙古自治区,兴安盟,科尔沁右翼中旗",029400
447,"中国,内蒙古自治区,兴安盟,扎赉特旗",137600
448,"中国,内蒙古自治区,兴安盟,突泉县",137500
449,"中国,内蒙古自治区,锡林郭勒盟",026000
450,"中国,内蒙古自治区,锡林郭勒盟,二连浩特市",011100
451,"中国,内蒙古自治区,锡林郭勒盟,锡林浩特市",026021
452,"中国,内蒙古自治区,锡林郭勒盟,阿巴嘎旗",011400
453,"中国,内蒙古自治区,锡林郭勒盟,苏尼特左旗",011300
454,"中国,内蒙古自治区,锡林郭勒盟,苏尼特右旗",011200
455,"中国,内蒙古自治区,锡林郭勒盟,东乌珠穆沁旗",026300
456,"中国,内蒙古自治区,锡林郭勒盟,西乌珠穆沁旗",026200
457,"中国,内蒙古自治区,锡林郭勒盟,太仆寺旗",027000
458,"中国,内蒙古自治区,锡林郭勒盟,镶黄旗",013250
459,"中国,内蒙古自治区,锡林郭勒盟,正镶白旗",013800
460,"中国,内蒙古自治区,锡林郭勒盟,正蓝旗",027200
461,"中国,内蒙古自治区,锡林郭勒盟,多伦县",027300
462,"中国,内蒙古自治区,阿拉善盟",750306
463,"中国,内蒙古自治区,阿拉善盟,阿拉善左旗",750306
464,"中国,内蒙古自治区,阿拉善盟,阿拉善右旗",737300
465,"中国,内蒙古自治区,阿拉善盟,额济纳旗",735400
466,"中国,辽宁省",
467,"中国,辽宁省,沈阳市",110013
468,"中国,辽宁省,沈阳市,和平区",110001
469,"中国,辽宁省,沈阳市,沈河区",110011
470,"中国,辽宁省,沈阳市,大东区",110041
471,"中国,辽宁省,沈阳市,皇姑区",110031
472,"中国,辽宁省,沈阳市,铁西区",110021
473,"中国,辽宁省,沈阳市,苏家屯区",110101
474,"中国,辽宁省,沈阳市,浑南区",110015
475,"中国,辽宁省,沈阳市,沈北新区",110121
476,"中国,辽宁省,沈阳市,于洪区",110141
477,"中国,辽宁省,沈阳市,辽中县",110200
478,"中国,辽宁省,沈阳市,康平县",110500
479,"中国,辽宁省,沈阳市,法库县",110400
480,"中国,辽宁省,沈阳市,新民市",110300
481,"中国,辽宁省,大连市",116011
482,"中国,辽宁省,大连市,中山区",116001
483,"中国,辽宁省,大连市,西岗区",116011
484,"中国,辽宁省,大连市,沙河口区",116021
485,"中国,辽宁省,大连市,甘井子区",116033
486,"中国,辽宁省,大连市,旅顺口区",116041
487,"中国,辽宁省,大连市,金州区",116100
488,"中国,辽宁省,大连市,长海县",116500
489,"中国,辽宁省,大连市,瓦房店市",116300
490,"中国,辽宁省,大连市,普兰店市",116200
491,"中国,辽宁省,大连市,庄河市",116400
492,"中国,辽宁省,鞍山市",114001
493,"中国,辽宁省,鞍山市,铁东区",114001
494,"中国,辽宁省,鞍山市,铁西区",114013
495,"中国,辽宁省,鞍山市,立山区",114031
496,"中国,辽宁省,鞍山市,千山区",114041
497,"中国,辽宁省,鞍山市,台安县",114100
498,"中国,辽宁省,鞍山市,岫岩满族自治县",114300
499,"中国,辽宁省,鞍山市,海城市",114200
500,"中国,辽宁省,抚顺市",113008
501,"中国,辽宁省,抚顺市,新抚区",113008
502,"中国,辽宁省,抚顺市,东洲区",113003
503,"中国,辽宁省,抚顺市,望花区",113001
504,"中国,辽宁省,抚顺市,顺城区",113006
505,"中国,辽宁省,抚顺市,抚顺县",113006
506,"中国,辽宁省,抚顺市,新宾满族自治县",113200
507,"中国,辽宁省,抚顺市,清原满族自治县",113300
508,"中国,辽宁省,本溪市",117000
509,"中国,辽宁省,本溪市,平山区",117000
510,"中国,辽宁省,本溪市,溪湖区",117002
511,"中国,辽宁省,本溪市,明山区",117021
512,"中国,辽宁省,本溪市,南芬区",117014
513,"中国,辽宁省,本溪市,本溪满族自治县",117100
514,"中国,辽宁省,本溪市,桓仁满族自治县",117200
515,"中国,辽宁省,丹东市",118000
516,"中国,辽宁省,丹东市,元宝区",118000
517,"中国,辽宁省,丹东市,振兴区",118002
518,"中国,辽宁省,丹东市,振安区",118001
519,"中国,辽宁省,丹东市,宽甸满族自治县",118200
520,"中国,辽宁省,丹东市,东港市",118300
521,"中国,辽宁省,丹东市,凤城市",118100
